address,balance,raw_balance,token_symbol,token_contract,block_number,first_seen_block,last_seen_block,transfer_event_count
0x9727be8641859ea388f8ab6debb6b8252a86c469,19260.394702,19260394702,USDC,0xe0be08c77f415f577a1b3a9ad7a1df1479564ec8,23022313,23020064,23021923,7
0xab89e6f08cb23e441af5e5a275e334eb809ccd9e,11010.366177,11010366177,USDC,0xe0be08c77f415f577a1b3a9ad7a1df1479564ec8,23022313,23020064,23021923,7
